Real,Predicho
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
REFUTED,REFUTED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,CANDIDATE
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CANDIDATE,CANDIDATE
CANDIDATE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
FALSE POSITIVE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
FALSE POSITIVE,FALSE POSITIVE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
FALSE POSITIVE,FALSE POSITIVE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
CONFIRMED,CONFIRMED
CONFIRMED,CONFIRMED
CANDIDATE,CANDIDATE
